code,name
M030500032,焦炭抗磨指数_M10
M030500033,焦炭抗压强度_M40
M030500035,焦炭反应性_CRI
M030500036,焦炭反应后强度_CSR
M030500111,入炉烧结矿粒度_<5mm
M030500128,入炉酸性烧结矿粒度_<5mm
C050100134,矿石批重
C050100135,焦炭批重
C050100122,炉顶压力
O040100002,风口总面积
O040100003,富氧量
O040100005,热风温度
O040100007,送风风量
O060100001,喷吹速率
C050100118,燃料比
C050100119,入炉焦比
C050100120,小块焦比
C050100121,喷煤比
C050100136,焦炭负荷
C050100137,探尺均值
C050100123,探尺极差
C050100126,料速（料批数）
M080700003,铁次铁量
S080100001,铁次渣量
M081100003,[铁水温度]
C050100129,出铁次数
M080900015,铁水[S]
M080900016,铁水[Si]
M080900018,铁水[Ti]
M080300010,炉渣(FeO)
M080300024,炉渣(SiO2)
M080300028,炉渣(TiO2)
O040100001,标准风速
O040100006,热风压力
O050100001,鼓风动能
O050100002,理论燃烧温度
O050100029,炉腹煤气发生量
O060100002,喷煤量
C050100128,煤气利用率
C050100005,炉顶温度均值
C050100066,炉顶温度极差
C050100006,炉喉温度均值
C050100067,炉喉温度极差
O050100231,炉芯温度
M080700001,铁水产量
C050100007,炉身36.080m冷却壁温度均值
C050100068,炉身36.080m冷却壁温度极差
C050100008,炉身34.085m冷却壁温度均值
C050100069,炉身34.085m冷却壁温度极差
C050100009,炉身32.090m冷却壁温度均值
C050100070,炉身32.090m冷却壁温度极差
C050100010,炉身30.095m冷却壁温度均值
C050100071,炉身30.095m冷却壁温度极差
C050100011,炉身28.100m冷却壁温度均值
C050100072,炉身28.100m冷却壁温度极差
C050100012,炉身26.095m冷却壁温度均值
C050100073,炉身26.095m冷却壁温度极差
C050100013,炉身24.100m冷却壁温度均值
C050100074,炉身24.100m冷却壁温度极差
C050100014,炉身22.105m冷却壁温度均值
C050100075,炉身22.105m冷却壁温度极差
C050100015,炉腰20.090m冷却壁温度均值
C050100076,炉腰20.090m冷却壁温度极差
C050100016,炉腹18.365m冷却壁温度均值
C050100077,炉腹18.365m冷却壁温度极差
C050100153,炉腹16.820m冷却壁温度均值
C050100155,炉腹16.820m冷却壁温度极差
C050100151,炉缸13.060m冷却壁温度均值
C050100150,炉缸11.800m冷却壁温度均值
C050100019,炉缸11.440m冷却壁温度均值
C050100021,炉缸11.185m冷却壁温度均值
C050100026,炉缸7.670m冷却壁温度均值
C050100022,东铁口冷却壁温度均值
C050100083,东铁口冷却壁温度极差
C050100023,西铁口冷却壁温度均值
C050100084,西铁口冷却壁温度极差
C050100027,标高13.378m（深度740mm）炉缸温度均值
C050100028,标高13.378m（深度540mm）炉缸温度均值
C050100088,标高13.378m（深度740mm）炉缸温度极差
C050100089,标高13.378m（深度540mm）炉缸温度极差
C050100029,标高12.762m（深度750mm）炉缸温度均值
C050100090,标高12.762m（深度750mm）炉缸温度极差
C050100141,标高11.684m（深度624mm）炉缸温度均值
C050100035,标高11.222m（深度729mm）炉缸温度均值
C050100140,标高11.222m（深度529mm）炉缸温度均值
C050100096,标高11.222m（深度729mm）炉缸温度极差
C050100037,标高10.452m（深度724mm）炉缸温度均值
C050100038,标高10.452m（深度524mm）炉缸温度均值
C050100098,标高10.452m（深度724mm）炉缸温度极差
C050100041,标高9.682m（深度731mm）炉缸温度均值
C050100042,标高9.682m（深度531mm）炉缸温度均值
C050100102,标高9.682m（深度731mm）炉缸温度极差
C050100043,标高8.912m（深度730mm）炉缸温度均值
C050100044,标高8.912m（深度530mm）炉缸温度均值
C050100105,标高8.912m（深度530mm）炉缸温度极差
C050100045,标高8.202m（深度720mm）炉缸温度均值
C050100144,标高8.202m（深度520mm）炉缸温度均值
C050100143,标高7.398m（深度4578mm）炉底温度均值
C050100049,标高7.398m（深度568mm）炉底温度均值
C050100109,标高7.398m（深度568mm）炉底温度极差
C050100051,标高6.996m（深度2517mm）炉缸温度均值
C050100112,标高6.996m（深度2517mm）炉缸温度极差
C050100053,标高6.595m（深度4656mm）炉缸温度均值
C050100142,标高6.595m（深度2556mm）炉缸温度均值
C050100114,标高6.595m（深度4656mm）炉缸温度极差
O050100045,标高6.595m中心温度
C050100001,炉身上层静压力与顶压差的均值
C050100056,炉身上层静压力与顶压差的极差
C050100002,炉身中层与上层静压力差的均值
C050100057,炉身中层与上层静压力差的极差
C050100003,炉身下层与中层静压力差的均值
C050100058,炉身下层与中层静压力差的极差
C050100004,风压与炉身下层静压力差的均值
C050100059,风压与炉身下层静压力差的极差
C050100060,炉身下层静压力均值
C050100061,炉身下层静压力极差
C050100062,炉身中层静压力均值
C050100063,炉身中层静压力极差
C050100064,炉身上层静压力均值
C050100065,炉身上层静压力极差
C050100124,焦炭加权平均角度（与对应执行角度取加权平均值）
C050100125,矿石加权平均角度（与对应执行角度取加权平均值）
M030500090,冶金焦_Ad
M030500093,冶金焦_Mt
M030500094,冶金焦_St
M030500041,喷吹煤粉_Ad
M030300125,喷吹煤粉_Fcad
M030500044,喷吹煤粉_St
M030500073,烧结矿强度_抗磨指数
M030500074,烧结矿强度_转鼓指数
M030500120,入炉烧结矿粒度_平均粒度(mm)
M030500122,入炉焦炭平均粒度（mm）
M030500124,入炉40块粒度_<5mm
M030500125,入炉南非块粒度_<5mm
M030500126,入炉白马球团粒度_<5mm
M030500127,入炉钒钛球团粒度_<5mm
M030500123,入炉焦丁粒度_<10mm
M030500129,入炉小粒烧结矿粒度_>5mm
L030100038,小块焦
C050100130,一期捣固干熄焦比例
C050100131,一期捣固水熄焦比例
C050100132,二期顶装干熄焦比例
C050100133,二期顶装水熄焦比例
M080300002,炉渣(Al2O3)
M080300007,炉渣(CaO)
M080300012,炉渣(MgO)
M080300014,炉渣(MnO)
M080300018,炉渣(P)
M080300020,炉渣(RO)
M080300021,炉渣(S)
M080300026,炉渣(TFe)
M080900007,铁水[Cu]
M080900009,铁水[Mn]
M080900013,铁水[P]
M080900014,铁水[Pb]
M080900004,铁水[C]
M080900019,铁水[V]
M080900021,铁水[Zn]
M081100001,铁水[As]
O050100240,炉身22.105m冷却壁温度1
O050100241,炉身22.105m冷却壁温度2
O050100258,炉身24.100m冷却壁温度1
O050100259,炉身24.100m冷却壁温度2
O050100272,炉腰20.090m冷却壁温度1
O050100273,炉腰20.090m冷却壁温度2
M030300001,40赤块_Al2O3
M030300002,40赤块_CaO
M030300006,40赤块_MgO
M030300008,40赤块_P
M030300010,40赤块_S
M030300011,40赤块_SiO2
M030300012,40赤块_TFe
M030300025,白马球团_Al2O3
M030300026,白马球团_CaO
M030300030,白马球团_MgO
M030300032,白马球团_P
M030300034,白马球团_S
M030300035,白马球团_SiO2
M030300036,白马球团_TFe
M030300037,白马球团_TiO2
M030300038,白马球团_V2O5
M030300040,钒钛球团_Al2O3
M030300042,钒钛球团_CaO
M030300047,钒钛球团_MgO
M030300049,钒钛球团_P
M030300051,钒钛球团_S
M030300052,钒钛球团_SiO2
M030300054,钒钛球团_TFe
M030300055,钒钛球团_TiO2
M030300056,钒钛球团_V2O5
M030300110,南非块矿_Al2O3
M030300111,南非块矿_CaO
M030300115,南非块矿_MgO
M030300118,南非块矿_P
M030300120,南非块矿_S
M030300121,南非块矿_SiO2
M030300122,南非块矿_TFe
M030300132,烧结矿成分_Al2O3
M030300133,烧结矿成分_CaO
M030300135,烧结矿成分_MgO
M030300136,烧结矿成分_P
M030300137,烧结矿成分_RO
M030300138,烧结矿成分_S
M030300139,烧结矿成分_SiO2
M030300140,烧结矿成分_TFe
M030300141,烧结矿成分_TiO2
M030300142,烧结矿成分_V2O5
M030300155,酸性烧结矿_Al2O3
M030300156,酸性烧结矿_CaO
M030300159,酸性烧结矿_MgO
M030300161,酸性烧结矿_P
M030300163,酸性烧结矿_RO
M030300164,酸性烧结矿_S
M030300165,酸性烧结矿_SiO2
M030300166,酸性烧结矿_TFe
M030300167,酸性烧结矿_TiO2
L030100002,40赤块
L030100010,澳块矿
L030100011,白马球团
L030100014,钒钛球团
L030100023,停开炉矿
L030100030,南非块矿
L030100033,烧结矿
L030100035,酸性烧结矿
L030100039,小粒度烧结矿
